test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
     40 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.41872E-13 -7.29436E-14  3.80834E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.08673E-10 -2.08673E-10 -2.08674E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.33434E+02  4.48938E+02
     41 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.55499E-13 -8.27149E-14  3.97716E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.04336E-10 -2.04335E-10 -2.04336E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.39205E+02  4.59731E+02
     42 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.67395E-13 -9.14880E-14  4.10356E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.99881E-10 -1.99880E-10 -1.99882E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.44612E+02  4.70024E+02
     43 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.77375E-13 -9.90665E-14  4.18402E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.95301E-10 -1.95300E-10 -1.95303E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.49681E+02  4.79836E+02
     44 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.85308E-13 -1.05307E-13  4.21821E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.90591E-10 -1.90590E-10 -1.90595E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.54435E+02  4.89186E+02
     45 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.90988E-13 -1.10103E-13  4.20575E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.85752E-10 -1.85750E-10 -1.85757E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.58896E+02  4.98092E+02
     46 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.94200E-13 -1.13374E-13  4.14664E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.80787E-10 -1.80785E-10 -1.80794E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.63083E+02  5.06574E+02
     47 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.94818E-13 -1.15027E-13  4.04139E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.75702E-10 -1.75700E-10 -1.75712E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.67015E+02  5.14650E+02
     48 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.92783E-13 -1.14973E-13  3.89130E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.70506E-10 -1.70505E-10 -1.70520E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.70710E+02  5.22339E+02
     49 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.88078E-13 -1.13155E-13  3.69849E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.65211E-10 -1.65210E-10 -1.65228E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.74184E+02  5.29658E+02
