Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
     110  0.00000E+00  2.25859E+007  0.00000E+000  1.74022E-001 -8.44420E-016  4.74398E-015  3.61390E+002  3.07824E+001 -1.69023E-015  4.27364E-016
     111  0.00000E+00  2.25859E+007  0.00000E+000  1.74854E-001 -2.28402E-015 -4.23417E-015  3.61144E+002  3.08072E+001  7.78203E-016  3.84780E-016
     112  0.00000E+00  2.25859E+007  0.00000E+000  1.75684E-001 -2.61563E-015 -6.00333E-015  3.60905E+002  3.08333E+001 -8.54901E-016  9.42047E-016
     113  0.00000E+00  2.25859E+007  0.00000E+000  1.76511E-001  3.84412E-016 -6.77138E-015  3.60672E+002  3.08604E+001 -3.14311E-016  3.98298E-016
     114  0.00000E+00  2.25859E+007  0.00000E+000  1.77331E-001  1.75954E-016 -4.38295E-015  3.60439E+002  3.08881E+001 -1.66292E-015  2.28838E-017
     115  0.00000E+00  2.25859E+007  0.00000E+000  1.78141E-001  1.13460E-015 -3.01848E-014  3.60207E+002  3.09163E+001  3.04633E-015  3.28229E-016
     116  0.00000E+00  2.25859E+007  0.00000E+000  1.78938E-001  1.22189E-015  2.34578E-016  3.59973E+002  3.09447E+001  2.30394E-016  1.08510E-015
     117  0.00000E+00  2.25859E+007  0.00000E+000  1.79720E-001  1.42463E-015 -3.51643E-014  3.59736E+002  3.09731E+001  3.37407E-015  6.64157E-016
     118  0.00000E+00  2.25859E+007  0.00000E+000  1.80483E-001 -1.77822E-015  9.90880E-015  3.59494E+002  3.10013E+001 -1.45378E-015  8.20619E-016
     119  0.00000E+00  2.25859E+007  0.00000E+000  1.81223E-001 -1.65661E-015 -2.45893E-014  3.59246E+002  3.10290E+001 -1.61749E-015  7.68976E-016
     120  0.00000E+00  2.25859E+007  0.00000E+000  1.81939E-001 -1.52779E-015  1.87649E-014  3.58994E+002  3.10560E+001 -8.05324E-016  8.84691E-016
     121  0.00000E+00  2.25859E+007  0.00000E+000  1.82629E-001 -7.56951E-016 -2.45280E-014  3.58735E+002  3.10823E+001 -6.06697E-016  3.14918E-016
     122  0.00000E+00  2.25859E+007  0.00000E+000  1.83291E-001  9.32110E-016  1.28720E-014  3.58472E+002  3.11077E+001  3.52928E-015  5.53136E-016
     123  0.00000E+00  2.25859E+007  0.00000E+000  1.83926E-001 -1.88567E-015 -3.09926E-015  3.58204E+002  3.11320E+001  2.33231E-016  5.04840E-016
     124  0.00000E+00  2.25859E+007  0.00000E+000  1.84533E-001  7.57950E-016 -2.86796E-015  3.57932E+002  3.11552E+001  2.79958E-015  6.12653E-016
     125  0.00000E+00  2.25859E+007  0.00000E+000  1.85110E-001 -3.03046E-016 -1.91170E-014  3.57657E+002  3.11772E+001  1.90362E-015  6.13344E-016
     126  0.00000E+00  2.25859E+007  0.00000E+000  1.85658E-001 -1.52566E-015  3.19345E-016  3.57380E+002  3.11982E+001  1.17328E-015  2.33343E-016
     127  0.00000E+00  2.25859E+007  0.00000E+000  1.86175E-001 -1.84627E-015 -1.80201E-014  3.57100E+002  3.12180E+001 -4.40160E-015  8.40554E-016
     128  0.00000E+00  2.25859E+007  0.00000E+000  1.86663E-001  1.64915E-015 -5.14366E-015  3.56819E+002  3.12368E+001 -4.14469E-016  9.28374E-016
     129  0.00000E+00  2.25859E+007  0.00000E+000  1.87121E-001  6.13656E-016 -2.53983E-014  3.56537E+002  3.12545E+001 -2.47383E-016  5.35886E-016
     130  0.00000E+00  2.25859E+007  0.00000E+000  1.87550E-001 -1.14516E-015  4.96142E-015  3.56255E+002  3.12713E+001 -8.00121E-016  1.06446E-015
     131  0.00000E+00  2.25859E+007  0.00000E+000  1.87953E-001 -7.40236E-016 -4.88856E-015  3.55973E+002  3.12873E+001 -2.32777E-015  3.19744E-016
     132  0.00000E+00  2.25859E+007  0.00000E+000  1.88330E-001 -1.50922E-015 -8.01404E-015  3.55693E+002  3.13024E+001 -4.97183E-016  7.41284E-016
     133  0.00000E+00  2.25859E+007  0.00000E+000  1.88683E-001 -1.43134E-015  1.06228E-014  3.55413E+002  3.13168E+001 -1.93162E-015  9.85831E-016
     134  0.00000E+00  2.25859E+007  0.00000E+000  1.89014E-001 -1.49460E-015  1.32628E-015  3.55137E+002  3.13305E+001  1.08971E-015  8.36704E-016
     135  0.00000E+00  2.25859E+007  0.00000E+000  1.89324E-001 -4.69743E-016 -1.35358E-014  3.54863E+002  3.13434E+001 -1.30994E-015  8.27448E-016
     136  0.00000E+00  2.25859E+007  0.00000E+000  1.89615E-001 -1.43729E-015 -4.41235E-015  3.54592E+002  3.13557E+001 -1.44084E-015  4.13301E-016
     137  0.00000E+00  2.25859E+007  0.00000E+000  1.89891E-001  2.02719E-015  3.89466E-015  3.54325E+002  3.13675E+001 -1.28432E-015  8.29016E-016
     138  0.00000E+00  2.25859E+007  0.00000E+000  1.90152E-001  8.00541E-016 -9.82722E-016  3.54061E+002  3.13788E+001  2.43999E-015  7.21456E-016
     139  0.00000E+00  2.25859E+007  0.00000E+000  1.90400E-001  2.12619E-015  9.23926E-015  3.53801E+002  3.13898E+001  4.84705E-017  8.75664E-016
