Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz Ew e Pmin Pmax
     75  0.00000E+00  0.00000E+00  4.22464E-21 -7.12349E-15  3.14152E-13 -2.11276E-13 -5.07622E-03 -1.80668E-03  1.37620E-02  4.20352E-02  1.52849E-02  5.28527E-04  1.86259E-01
     76  0.00000E+00  0.00000E+00  4.36656E-21 -9.66833E-16  3.00201E-13 -2.08523E-13 -4.89458E-03 -1.51240E-03  1.27901E-02  4.17559E-02  1.52009E-02  5.33425E-04  1.82246E-01
     77  0.00000E+00  0.00000E+00  4.51564E-21  5.23881E-15  2.85921E-13 -2.05974E-13 -4.71444E-03 -1.21685E-03  1.18555E-02  4.14450E-02  1.51118E-02  5.38088E-04  1.77592E-01
     78  0.00000E+00  0.00000E+00  4.67116E-21  1.14720E-14  2.71424E-13 -2.03699E-13 -4.53576E-03 -9.21283E-04  1.09593E-02  4.11037E-02  1.50174E-02  5.40855E-04  1.72594E-01
     79  0.00000E+00  0.00000E+00  4.83239E-21  1.77156E-14  2.56826E-13 -2.01746E-13 -4.35846E-03 -6.26951E-04  1.01020E-02  4.07344E-02  1.49177E-02  5.45706E-04  1.67513E-01
     80  0.00000E+00  0.00000E+00  4.99874E-21  2.39441E-14  2.42241E-13 -2.00142E-13 -4.18245E-03 -3.34949E-04  9.28357E-03  4.03376E-02  1.48125E-02  5.48594E-04  1.62414E-01
     81  0.00000E+00  0.00000E+00  5.16978E-21  3.01333E-14  2.27776E-13 -1.98905E-13 -4.00762E-03 -4.62814E-05  8.50342E-03  3.99143E-02  1.47017E-02  5.54364E-04  1.57317E-01
     82  0.00000E+00  0.00000E+00  5.34490E-21  3.62529E-14  2.13535E-13 -1.98035E-13 -3.83383E-03  2.38205E-04  7.76059E-03  3.94671E-02  1.45849E-02  5.67077E-04  1.52369E-01
     83  0.00000E+00  0.00000E+00  5.52356E-21  4.22803E-14  1.99624E-13 -1.97491E-13 -3.66093E-03  5.17845E-04  7.05407E-03  3.89972E-02  1.44620E-02  5.75895E-04  1.47674E-01
     84  0.00000E+00  0.00000E+00  5.70534E-21  4.81890E-14  1.86148E-13 -1.97224E-13 -3.48875E-03  7.92214E-04  6.38282E-03  3.85063E-02  1.43328E-02  5.82916E-04  1.43344E-01
     85  0.00000E+00  0.00000E+00  5.88981E-21  5.39488E-14  1.73207E-13 -1.97164E-13 -3.31707E-03  1.06118E-03  5.74572E-03  3.79958E-02  1.41971E-02  5.90778E-04  1.39446E-01
     86  0.00000E+00  0.00000E+00  6.07660E-21  5.95393E-14  1.60874E-13 -1.97239E-13 -3.14573E-03  1.32477E-03  5.14161E-03  3.74675E-02  1.40550E-02  6.07390E-04  1.35961E-01
     87  0.00000E+00  0.00000E+00  6.26540E-21  6.49230E-14  1.49215E-13 -1.97369E-13 -2.97457E-03  1.58302E-03  4.56952E-03  3.69241E-02  1.39065E-02  6.28134E-04  1.32919E-01
     88  0.00000E+00  0.00000E+00  6.45594E-21  7.00800E-14  1.38274E-13 -1.97481E-13 -2.80343E-03  1.83612E-03  4.02859E-03  3.63661E-02  1.37520E-02  6.28189E-04  1.30349E-01
     89  0.00000E+00  0.00000E+00  6.64801E-21  7.49837E-14  1.28087E-13 -1.97494E-13 -2.63222E-03  2.08432E-03  3.51813E-03  3.57961E-02  1.35918E-02  6.28103E-04  1.28234E-01
     90  0.00000E+00  0.00000E+00  6.59389E-21  7.98046E-14  1.18882E-13 -1.97029E-13 -2.46318E-03  2.32478E-03  3.05556E-03  3.51581E-02  1.34313E-02  6.32328E-04  1.26539E-01
     91  0.00000E+00  0.00000E+00  7.08733E-21  8.22936E-14  1.10833E-13 -1.93013E-13 -2.31614E-03  2.50636E-03  2.61720E-03  3.48975E-02  1.32985E-02  6.14957E-04  1.33852E-01
     92  0.00000E+00  0.00000E+00  7.63956E-21  8.46933E-14  1.03297E-13 -1.88825E-13 -2.16796E-03  2.68961E-03  2.19683E-03  3.45414E-02  1.31768E-02  6.02246E-04  1.36999E-01
     93  0.00000E+00  0.00000E+00  8.17796E-21  8.68734E-14  9.63826E-14 -1.84556E-13 -2.01917E-03  2.87345E-03  1.79582E-03  3.42208E-02  1.30490E-02  5.90173E-04  1.44195E-01
     94  0.00000E+00  0.00000E+00  8.67510E-21  8.87633E-14  9.01827E-14 -1.80279E-13 -1.87026E-03  3.05642E-03  1.41507E-03  3.38756E-02  1.29224E-02  5.83027E-04  1.52712E-01
     95  0.00000E+00  0.00000E+00  9.12496E-21  9.03587E-14  8.46988E-14 -1.76064E-13 -1.72184E-03  3.23668E-03  1.05529E-03  3.35351E-02  1.27934E-02  5.81112E-04  1.61611E-01
     96  0.00000E+00  0.00000E+00  9.53082E-21  9.16447E-14  7.99112E-14 -1.71988E-13 -1.57442E-03  3.41293E-03  7.17049E-04  3.31848E-02  1.26640E-02  5.78127E-04  1.70201E-01
     97  0.00000E+00  0.00000E+00  9.89957E-21  9.26101E-14  7.57795E-14 -1.68119E-13 -1.42838E-03  3.58426E-03  4.00611E-04  3.28322E-02  1.25336E-02  5.75417E-04  1.77990E-01
     98  0.00000E+00  0.00000E+00  1.02377E-20  9.32429E-14  7.22543E-14 -1.64506E-13 -1.28404E-03  3.75008E-03  1.05952E-04  3.24738E-02  1.24029E-02  5.73621E-04  1.89835E-01
     99  0.00000E+00  0.00000E+00  1.05518E-20  9.35496E-14  6.92700E-14 -1.61203E-13 -1.14166E-03  3.91000E-03 -1.67175E-04  3.21116E-02  1.22723E-02  5.72077E-04  2.02048E-01
    100  0.00000E+00  0.00000E+00  1.08464E-20  9.35439E-14  6.67517E-14 -1.58244E-13 -1.00141E-03  4.06379E-03 -4.19287E-04  3.17449E-02  1.21420E-02  5.66436E-04  2.13072E-01
    101  0.00000E+00  0.00000E+00  1.11254E-20  9.32444E-14  6.46174E-14 -1.55669E-13 -8.63455E-04  4.21136E-03 -6.51039E-04  3.13747E-02  1.20126E-02  5.58046E-04  2.22635E-01
    102  0.00000E+00  0.00000E+00  1.13915E-20  9.26736E-14  6.27731E-14 -1.53501E-13 -7.27927E-04  4.35266E-03 -8.63200E-04  3.10018E-02  1.18841E-02  5.49932E-04  2.30492E-01
    103  0.00000E+00  0.00000E+00  1.16474E-20  9.18507E-14  6.11354E-14 -1.51744E-13 -5.94931E-04  4.48774E-03 -1.05668E-03  3.06263E-02  1.17568E-02  5.42263E-04  2.36460E-01
    104  0.00000E+00  0.00000E+00  1.18943E-20  9.07969E-14  5.96313E-14 -1.50370E-13 -4.64539E-04  4.61668E-03 -1.23247E-03  3.02497E-02  1.16308E-02  5.35301E-04  2.40526E-01
    105  0.00000E+00  0.00000E+00  1.21333E-20  8.95455E-14  5.82001E-14 -1.49343E-13 -3.36795E-04  4.73959E-03 -1.39165E-03  2.98724E-02  1.15063E-02  5.27130E-04  2.42603E-01
    106  0.00000E+00  0.00000E+00  1.23653E-20  8.81334E-14  5.67825E-14 -1.48597E-13 -2.11692E-04  4.85665E-03 -1.53536E-03  2.94945E-02  1.13832E-02  5.18724E-04  2.42872E-01
    107  0.00000E+00  0.00000E+00  1.25908E-20  8.66024E-14  5.53316E-14 -1.48044E-13 -8.91981E-05  4.96805E-03 -1.66479E-03  2.91169E-02  1.12617E-02  5.11277E-04  2.41708E-01
    108  0.00000E+00  0.00000E+00  1.28105E-20  8.49978E-14  5.38395E-14 -1.47593E-13  3.07365E-05  5.07402E-03 -1.78115E-03  2.87399E-02  1.11416E-02  5.05022E-04  2.39528E-01
    109  0.00000E+00  0.00000E+00  1.30247E-20  8.33518E-14  5.23107E-14 -1.47156E-13  1.48172E-04  5.17476E-03 -1.88566E-03  2.83638E-02  1.10230E-02  4.99576E-04  2.39154E-01
    110  0.00000E+00  0.00000E+00  1.32342E-20  8.16812E-14  5.07626E-14 -1.46663E-13  2.63185E-04  5.27053E-03 -1.97951E-03  2.79896E-02  1.09059E-02  4.92538E-04  2.43859E-01
    111  0.00000E+00  0.00000E+00  1.34392E-20  7.99841E-14  4.92294E-14 -1.46055E-13  3.75834E-04  5.36154E-03 -2.06387E-03  2.76178E-02  1.07901E-02  4.85852E-04  2.47862E-01
    112  0.00000E+00  0.00000E+00  1.36403E-20  7.82735E-14  4.77318E-14 -1.45299E-13  4.86174E-04  5.44801E-03 -2.13985E-03  2.72477E-02  1.06758E-02  4.80085E-04  2.51335E-01
    113  0.00000E+00  0.00000E+00  1.38379E-20  7.65588E-14  4.62822E-14 -1.44369E-13  5.94261E-04  5.53013E-03 -2.20846E-03  2.68806E-02  1.05629E-02  4.75550E-04  2.54370E-01
    114  0.00000E+00  0.00000E+00  1.40324E-20  7.48496E-14  4.48991E-14 -1.43260E-13  7.00130E-04  5.60815E-03 -2.27068E-03  2.65160E-02  1.04514E-02  4.72740E-04  2.57011E-01
    115  0.00000E+00  0.00000E+00  1.42241E-20  7.31606E-14  4.36141E-14 -1.41975E-13  8.03818E-04  5.68233E-03 -2.32738E-03  2.61549E-02  1.03413E-02  4.68087E-04  2.59358E-01
    116  0.00000E+00  0.00000E+00  1.44134E-20  7.15006E-14  4.24444E-14 -1.40501E-13  9.05363E-04  5.75294E-03 -2.37940E-03  2.57969E-02  1.02326E-02  4.59316E-04  2.61392E-01
    117  0.00000E+00  0.00000E+00  1.46005E-20  6.98655E-14  4.14051E-14 -1.38844E-13  1.00480E-03  5.82024E-03 -2.42746E-03  2.54428E-02  1.01252E-02  4.50868E-04  2.63042E-01
    118  0.00000E+00  0.00000E+00  1.47856E-20  6.82575E-14  4.05175E-14 -1.37024E-13  1.10216E-03  5.88450E-03 -2.47223E-03  2.50920E-02  1.00193E-02  4.42469E-04  2.64291E-01
    119  0.00000E+00  0.00000E+00  1.49690E-20  6.66752E-14  3.97961E-14 -1.35063E-13  1.19749E-03  5.94601E-03 -2.51431E-03  2.47449E-02  9.91470E-03  4.33965E-04  2.65119E-01
    120  0.00000E+00  0.00000E+00  1.51509E-20  6.51200E-14  3.92486E-14 -1.32990E-13  1.29081E-03  6.00502E-03 -2.55419E-03  2.44010E-02  9.81145E-03  4.24190E-04  2.65550E-01
    121  0.00000E+00  0.00000E+00  1.53314E-20  6.35862E-14  3.88794E-14 -1.30839E-13  1.38213E-03  6.06179E-03 -2.59232E-03  2.40608E-02  9.70944E-03  4.15085E-04  2.65637E-01
    122  0.00000E+00  0.00000E+00  1.55107E-20  6.20673E-14  3.86874E-14 -1.28627E-13  1.47146E-03  6.11655E-03 -2.62905E-03  2.37238E-02  9.60864E-03  4.06517E-04  2.65411E-01
    123  0.00000E+00  0.00000E+00  1.56889E-20  6.05570E-14  3.86665E-14 -1.26368E-13  1.55882E-03  6.16951E-03 -2.66472E-03  2.33901E-02  9.50894E-03  3.98410E-04  2.64887E-01
    124  0.00000E+00  0.00000E+00  1.58661E-20  5.90489E-14  3.88200E-14 -1.24102E-13  1.64420E-03  6.22085E-03 -2.69957E-03  2.30592E-02  9.41032E-03  3.90487E-04  2.63981E-01
    125  0.00000E+00  0.00000E+00  1.60424E-20  5.75442E-14  3.91459E-14 -1.21857E-13  1.72761E-03  6.27074E-03 -2.73384E-03  2.27312E-02  9.31264E-03  3.82759E-04  2.62748E-01
