Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
   2550  4.07840E+03  1.60000E+000  1.00000E+000 -6.59603E-006  5.71502E-007 -1.95444E-005  1.00000E+000 -1.81799E-017  2.71051E-021 -3.60171E-004  1.29630E-003 -4.56540E-003  1.10157E-009  1.75009E-002  1.00000E-002 -2.42174E-007 -5.14109E-007  1.53342E-006  1.50110E-002  9.75250E-003  1.02585E-002
   2600  4.15840E+03  1.60000E+000  1.00000E+000 -6.52212E-006  4.26593E-007 -1.88571E-005  1.00000E+000 -7.07767E-018  2.16840E-021 -3.17894E-004  1.40729E-003 -4.73464E-003  4.48001E-010  1.75021E-002  1.00000E-002 -2.84198E-007 -3.48623E-007  9.45630E-007  1.50096E-002  9.75157E-003  1.02595E-002
   2650  4.23840E+03  1.60000E+000  1.00000E+000 -6.44817E-006  2.60783E-007 -1.83228E-005  1.00000E+000  1.38778E-019  8.53809E-021 -2.49399E-004  1.49891E-003 -4.82789E-003  3.38556E-010  1.75026E-002  1.00000E-002 -3.19295E-007 -1.70657E-007  3.40303E-007  1.50082E-002  9.75126E-003  1.02593E-002
   2700  4.31840E+03  1.60000E+000  1.00000E+000 -6.37517E-006  7.58092E-008 -1.76084E-005  1.00000E+000  2.49800E-018 -2.71051E-021 -1.54540E-004  1.56852E-003 -4.84403E-003  6.78841E-010  1.75023E-002  1.00000E-002 -3.44179E-007  1.72179E-008 -2.69592E-007  1.50070E-002  9.75147E-003  1.02587E-002
   2750  4.39840E+03  1.60000E+000  1.00000E+000 -6.31157E-006 -1.23699E-007 -1.69404E-005  1.00000E+000 -4.02456E-018 -1.89735E-021 -3.41161E-005  1.61435E-003 -4.78313E-003  1.19857E-009  1.75014E-002  1.00000E-002 -3.55679E-007  2.12191E-007 -8.76619E-007  1.50062E-002  9.75181E-003  1.02577E-002
   2800  4.47840E+03  1.60000E+000  1.00000E+000 -6.26998E-006 -3.31057E-007 -1.63473E-005  1.00000E+000  1.24900E-018 -5.42101E-022  1.10063E-004  1.63480E-003 -4.64646E-003  2.41092E-010  1.74997E-002  1.00000E-002 -3.50829E-007  4.11246E-007 -1.47144E-006  1.50057E-002  9.75223E-003  1.02558E-002
   2850  4.55840E+03  1.60000E+000  1.00000E+000 -6.24988E-006 -5.43884E-007 -1.56660E-005  1.00000E+000  1.52656E-018 -2.43945E-021  2.75278E-004  1.62852E-003 -4.43653E-003  1.18472E-009  1.74973E-002  1.00000E-002 -3.26812E-007  6.11150E-007 -2.04305E-006  1.50059E-002  9.75293E-003  1.02539E-002
   2900  4.63840E+03  1.60000E+000  1.00000E+000 -6.26575E-006 -7.61042E-007 -1.51701E-005  1.00000E+000  0.00000E+000  0.00000E+000  4.57816E-004  1.59501E-003 -4.15699E-003  1.31557E-009  1.74943E-002  1.00000E-002 -2.81368E-007  8.08534E-007 -2.58519E-006  1.50067E-002  9.75404E-003  1.02519E-002
   2950  4.71840E+03  1.60000E+000  1.00000E+000 -6.32211E-006 -9.85930E-007 -1.46212E-005  1.00000E+000  3.33067E-018 -7.04731E-021  6.53134E-004  1.53371E-003 -3.81257E-003  2.19182E-009  1.74907E-002  1.00000E-002 -2.12649E-007  9.99916E-007 -3.08700E-006  1.50083E-002  9.75544E-003  1.02492E-002
   3000  4.79840E+03  1.60000E+000  1.00000E+000 -6.42055E-006 -1.20804E-006 -1.42224E-005  1.00000E+000  1.11022E-018 -2.98156E-021  8.55884E-004  1.44500E-003 -3.40901E-003  2.03877E-009  1.74865E-002  1.00000E-002 -1.19403E-007  1.18195E-006 -3.54272E-006  1.50109E-002  9.75688E-003  1.02468E-002
   3050  4.87840E+03  1.60000E+000  1.00000E+000 -6.57410E-006 -1.41866E-006 -1.37309E-005  1.00000E+000 -3.33067E-018 -7.31836E-021  1.06007E-003  1.32929E-003 -2.95298E-003  1.17948E-009  1.74820E-002  1.00000E-002 -1.19873E-009  1.35131E-006 -3.94286E-006  1.50143E-002  9.75853E-003  1.02445E-002
   3100  4.95840E+03  1.60000E+000  1.00000E+000 -6.77770E-006 -1.61947E-006 -1.34998E-005  1.00000E+000 -3.88578E-018 -4.06576E-021  1.25925E-003  1.18809E-003 -2.45193E-003  7.47741E-010  1.74771E-002  1.00000E-002  1.41795E-007  1.50470E-006 -4.28484E-006  1.50186E-002  9.76042E-003  1.02422E-002
