LOS table - Multiple Instruments: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 10
200 14
0.0
l10T l10ne AIA:94 AIA:131 AIA:171 AIA:193 AIA:211 AIA:304 AIA:335 XRT:Al-mesh XRT:Al-poly XRT:Ti-poly
5.76633e+00 5.00000e+00 2.45374e-02 2.01585e+00 1.61412e+02 4.12142e+00 4.42073e-01 1.02744e-01 1.20419e-01 3.32400e+00 4.15046e-01 4.12246e-02
5.78391e+00 5.00000e+00 2.65062e-02 1.88351e+00 1.70024e+02 3.99862e+00 4.44498e-01 1.10898e-01 1.29031e-01 3.52973e+00 4.44625e-01 4.82456e-02
5.80150e+00 5.00000e+00 2.90805e-02 1.74708e+00 1.77312e+02 3.93709e+00 4.54109e-01 1.20866e-01 1.41073e-01 3.73294e+00 4.74580e-01 5.65147e-02
5.81909e+00 5.00000e+00 3.23943e-02 1.61069e+00 1.83105e+02 3.96078e+00 4.69947e-01 1.32150e-01 1.56613e-01 3.93334e+00 5.05033e-01 6.61934e-02
5.83668e+00 5.00000e+00 3.65616e-02 1.47616e+00 1.87169e+02 4.09984e+00 4.91729e-01 1.44239e-01 1.75321e-01 4.12959e+00 5.36043e-01 7.75237e-02
5.85427e+00 5.00000e+00 4.16624e-02 1.34369e+00 1.89250e+02 4.39738e+00 5.19752e-01 1.56501e-01 1.96153e-01 4.31989e+00 5.67662e-01 9.08074e-02
5.87185e+00 5.00000e+00 4.77137e-02 1.21279e+00 1.89093e+02 4.91376e+00 5.55204e-01 1.68163e-01 2.17653e-01 4.50174e+00 5.99920e-01 1.06382e-01
5.88944e+00 5.00000e+00 5.46356e-02 1.08303e+00 1.86457e+02 5.72932e+00 6.00502e-01 1.78350e-01 2.38177e-01 4.67166e+00 6.32777e-01 1.24589e-01
5.90703e+00 5.00000e+00 6.22163e-02 9.54505e-01 1.81142e+02 6.94381e+00 6.60134e-01 1.86155e-01 2.55999e-01 4.82464e+00 6.66046e-01 1.45699e-01
5.92462e+00 5.00000e+00 7.01239e-02 8.29070e-01 1.73062e+02 8.67850e+00 7.40800e-01 1.91031e-01 2.69730e-01 4.95565e+00 6.99556e-01 1.69918e-01
5.94221e+00 5.00000e+00 7.79169e-02 7.09870e-01 1.62287e+02 1.10752e+01 8.54350e-01 1.93109e-01 2.78672e-01 5.06054e+00 7.33313e-01 1.97457e-01
5.95979e+00 5.00000e+00 8.49917e-02 5.99389e-01 1.49004e+02 1.42707e+01 1.01806e+00 1.93019e-01 2.82498e-01 5.13375e+00 7.67205e-01 2.28408e-01
5.97738e+00 5.00000e+00 9.06023e-02 4.99337e-01 1.33537e+02 1.83597e+01 1.25591e+00 1.91942e-01 2.81223e-01 5.16798e+00 8.00962e-01 2.62649e-01
5.99497e+00 5.00000e+00 9.39214e-02 4.10761e-01 1.16373e+02 2.33327e+01 1.59793e+00 1.91610e-01 2.75168e-01 5.15406e+00 8.34130e-01 2.99732e-01
6.01256e+00 5.00000e+00 9.42044e-02 3.34066e-01 9.82137e+01 2.90081e+01 2.07646e+00 1.94272e-01 2.65029e-01 5.08368e+00 8.66407e-01 3.38837e-01
6.03015e+00 5.00000e+00 9.14264e-02 2.69818e-01 8.03022e+01 3.51350e+01 2.73123e+00 2.03011e-01 2.52863e-01 4.97180e+00 9.00388e-01 3.79587e-01
6.04773e+00 5.00000e+00 8.60365e-02 2.17552e-01 6.37703e+01 4.14130e+01 3.60670e+00 2.20711e-01 2.40515e-01 4.84164e+00 9.39691e-01 4.21908e-01
6.06532e+00 5.00000e+00 7.85989e-02 1.76262e-01 4.92694e+01 4.74349e+01 4.74188e+00 2.49352e-01 2.28765e-01 4.70828e+00 9.87011e-01 4.65655e-01
6.08291e+00 5.00000e+00 6.97311e-02 1.44603e-01 3.70682e+01 5.26945e+01 6.15837e+00 2.89723e-01 2.17742e-01 4.57844e+00 1.04405e+00 5.10503e-01
6.10050e+00 5.00000e+00 6.00577e-02 1.21122e-01 2.71613e+01 5.66198e+01 7.84355e+00 3.40875e-01 2.07688e-01 4.45136e+00 1.11160e+00 5.55856e-01
6.11809e+00 5.00000e+00 5.02118e-02 1.04450e-01 1.93835e+01 5.87037e+01 9.74040e+00 3.99684e-01 1.98410e-01 4.32394e+00 1.18996e+00 6.00935e-01
6.13567e+00 5.00000e+00 4.08450e-02 9.33700e-02 1.34922e+01 5.87848e+01 1.17769e+01 4.61608e-01 1.91342e-01 4.20168e+00 1.28040e+00 6.45547e-01
6.15326e+00 5.00000e+00 3.24185e-02 8.66513e-02 9.17457e+00 5.69090e+01 1.38531e+01 5.20242e-01 1.87885e-01 4.08832e+00 1.38372e+00 6.89513e-01
6.17085e+00 5.00000e+00 2.51852e-02 8.31896e-02 6.10410e+00 5.32611e+01 1.58312e+01 5.67532e-01 1.89159e-01 3.98383e+00 1.49994e+00 7.32401e-01
6.18844e+00 5.00000e+00 1.92293e-02 8.20441e-02 3.98164e+00 4.81414e+01 1.75368e+01 5.94861e-01 1.95917e-01 3.88588e+00 1.62837e+00 7.73486e-01
6.20602e+00 5.00000e+00 1.45198e-02 8.23747e-02 2.55485e+00 4.19424e+01 1.87680e+01 5.94833e-01 2.08455e-01 3.79148e+00 1.76785e+00 8.11832e-01
6.22361e+00 5.00000e+00 1.09569e-02 8.34661e-02 1.62607e+00 3.51900e+01 1.93656e+01 5.66873e-01 2.27074e-01 3.70433e+00 1.91953e+00 8.48638e-01
6.24120e+00 5.00000e+00 8.39946e-03 8.48342e-02 1.04281e+00 2.84689e+01 1.92755e+01 5.18957e-01 2.52365e-01 3.63737e+00 2.08914e+00 8.88663e-01
6.25879e+00 5.00000e+00 6.66323e-03 8.61365e-02 6.87400e-01 2.22230e+01 1.85005e+01 4.59989e-01 2.84198e-01 3.60382e+00 2.28421e+00 9.37168e-01
6.27638e+00 5.00000e+00 5.57369e-03 8.71402e-02 4.76254e-01 1.67382e+01 1.70956e+01 3.97428e-01 3.21169e-01 3.61651e+00 2.51344e+00 9.99341e-01
6.29397e+00 5.00000e+00 4.99505e-03 8.76887e-02 3.53457e-01 1.21606e+01 1.51668e+01 3.36491e-01 3.59972e-01 3.68635e+00 2.78495e+00 1.07966e+00
6.31155e+00 5.00000e+00 4.83474e-03 8.76403e-02 2.82862e-01 8.52857e+00 1.28752e+01 2.73229e-01 3.95181e-01 3.81935e+00 3.10274e+00 1.18075e+00
6.32914e+00 5.00000e+00 5.04312e-03 8.70557e-02 2.42183e-01 5.83646e+00 1.05032e+01 2.23900e-01 4.23378e-01 4.02257e+00 3.46951e+00 1.30448e+00
6.34673e+00 5.00000e+00 5.60417e-03 8.59017e-02 2.17291e-01 3.97037e+00 8.30755e+00 1.81983e-01 4.43524e-01 4.29901e+00 3.88775e+00 1.45271e+00
6.36432e+00 5.00000e+00 6.53080e-03 8.42282e-02 1.99205e-01 2.74087e+00 6.42155e+00 1.47323e-01 4.55385e-01 4.64380e+00 4.35729e+00 1.62653e+00
6.38190e+00 5.00000e+00 7.85902e-03 8.20883e-02 1.82833e-01 1.95925e+00 4.88518e+00 1.19216e-01 4.59395e-01 5.04847e+00 4.87614e+00 1.82640e+00
6.39949e+00 5.00000e+00 9.64622e-03 7.95376e-02 1.66290e-01 1.47131e+00 3.68099e+00 9.67096e-02 4.56518e-01 5.50397e+00 5.44109e+00 2.05222e+00
6.41708e+00 5.00000e+00 1.19605e-02 7.66504e-02 1.49938e-01 1.16594e+00 2.76296e+00 7.87910e-02 4.47994e-01 6.00333e+00 6.04883e+00 2.30325e+00
6.43467e+00 5.00000e+00 1.49163e-02 7.35571e-02 1.38110e-01 9.73563e-01 2.07524e+00 6.45279e-02 4.34941e-01 6.54507e+00 6.69822e+00 2.57862e+00
6.45226e+00 5.00000e+00 1.85926e-02 7.03847e-02 1.31204e-01 8.50787e-01 1.56743e+00 5.31606e-02 4.18470e-01 7.12924e+00 7.38985e+00 2.87802e+00
6.46984e+00 5.00000e+00 2.30957e-02 6.72377e-02 1.28967e-01 7.69600e-01 1.19753e+00 4.40909e-02 3.99681e-01 7.75579e+00 8.12455e+00 3.20134e+00
6.48743e+00 5.00000e+00 2.85357e-02 6.41985e-02 1.30122e-01 7.11623e-01 9.31661e-01 3.68572e-02 3.79567e-01 8.42584e+00 8.90487e+00 3.54943e+00
6.50502e+00 5.00000e+00 3.50212e-02 6.13369e-02 1.33053e-01 6.65176e-01 7.43098e-01 3.11082e-02 3.58987e-01 9.14241e+00 9.73554e+00 3.92431e+00
6.52261e+00 5.00000e+00 4.26551e-02 5.86926e-02 1.36273e-01 6.26341e-01 6.10883e-01 2.65543e-02 3.38429e-01 9.90888e+00 1.06212e+01 4.32805e+00
6.54020e+00 5.00000e+00 5.15489e-02 5.63041e-02 1.38453e-01 5.94674e-01 5.18715e-01 2.29457e-02 3.17928e-01 1.07260e+01 1.15635e+01 4.76120e+00
6.55778e+00 5.00000e+00 6.18046e-02 5.41986e-02 1.38573e-01 5.72249e-01 4.54213e-01 2.01122e-02 2.97487e-01 1.15933e+01 1.25620e+01 5.22351e+00
6.57537e+00 5.00000e+00 7.35044e-02 5.23986e-02 1.35899e-01 5.60598e-01 4.07582e-01 1.79417e-02 2.77115e-01 1.25081e+01 1.36141e+01 5.71383e+00
