Coefficients order= 30 center=CT2077:180
Observation time
          B0 angle & Nmax:        0           30





Max Harmonic Order: 30              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   26   25       -0.0893750412       -0.1548662673
   26   26       -0.0523139649        0.1400864078
   27    0        0.1423622284        0.0000000000
   27    1       -0.0155091267       -0.0355709184
   27    2       -0.3658942456       -0.1271335085
   27    3       -0.1229494276       -0.0091479370
   27    4       -0.0144701435       -0.0933776163
   27    5       -0.1032029412        0.1109773171
   27    6       -0.2801889279       -0.0783430983
   27    7       -0.0078995626        0.2037387011
   27    8        0.3020679175       -0.2153286560
   27    9        0.0731900270        0.1572062802
   27   10       -0.1865884568       -0.5083115050
   27   11       -0.0862491019        0.1169419692
   27   12       -0.0749615412       -0.1891567914
   27   13       -0.1565537879        0.2396558169
   27   14        0.0247665765       -0.0699098009
   27   15        0.2789331782       -0.0883356626
   27   16       -0.0170686428       -0.1668963508
   27   17       -0.1136619963       -0.1713393424
   27   18       -0.0229705809        0.1037059950
   27   19        0.4106121413        0.0087804403
   27   20       -0.1458826988        0.0170493732
   27   21       -0.2630549334       -0.1445394579
   27   22        0.1235197177       -0.1809707621
   27   23        0.2357970205        0.2957145255
   27   24       -0.1185714933       -0.1225283709
   27   25        0.0323320301       -0.1097578714
   27   26        0.2633993101       -0.0537832093
   27   27        0.0310723519        0.1951604491
   28    0        0.1062778980        0.0000000000
   28    1        0.0830160415        0.0760800262
   28    2       -0.3008384915       -0.2342723001
   28    3        0.1604121737        0.1314857865
   28    4       -0.1413043261       -0.0722553441
   28    5       -0.1502035662        0.1857043096
   28    6        0.3364836816        0.3956179591
   28    7        0.3129097119        0.1818919210
   28    8        0.1850559280       -0.1116939994
   28    9       -0.1367279150        0.0307668702
   28   10       -0.0897634357       -0.0996795349
   28   11       -0.2786625864        0.0647622999
   28   12       -0.1599784562        0.2309831528
   28   13        0.2520889811       -0.0995191294
   28   14        0.1961861200        0.0236687858
   28   15        0.2606427708        0.0923782032
   28   16       -0.2356595908        0.0291000597
   28   17       -0.0588677216        0.0408544249
   28   18       -0.0425790774        0.1196268357
   28   19        0.0565513114       -0.0646697114
   28   20       -0.1357913506        0.1035285203
   28   21       -0.2006472230       -0.2405032499
   28   22       -0.0107937599        0.0203070196
   28   23        0.2336051608        0.0830841341
   28   24       -0.0598669341       -0.1219837972
   28   25       -0.0466034459       -0.2625716099
   28   26        0.0926751419        0.1811300839
   28   27        0.0642873063        0.1659628742
   28   28        0.0205143387        0.0522032870
   29    0       -0.1879411224        0.0000000000
   29    1       -0.1487694566        0.1667620695
   29    2       -0.2015373879        0.2513795160
   29    3        0.0747519912       -0.0583159930
   29    4        0.2504885631       -0.1093304057
   29    5       -0.0427192511        0.0448416996
   29    6        0.0762230948       -0.1004128774
   29    7        0.0742792144       -0.1117998195
   29    8       -0.2181093509       -0.4723591851
   29    9       -0.2875216019       -0.1919391562
   29   10       -0.1457787745       -0.0342947527
   29   11        0.4003064284        0.3458652284
   29   12       -0.0111119682        0.1968404649
   29   13        0.0360097161       -0.0816686757
   29   14       -0.0076734420       -0.0385216502
   29   15        0.0637300561       -0.0890346678
   29   16       -0.2521963442        0.0375915192
   29   17        0.0846263510        0.1224612768
   29   18        0.1884125517        0.3695395830
   29   19        0.0251563486        0.0086430836
   29   20        0.0042686041       -0.0880651908
   29   21       -0.2868565530       -0.2066610850
   29   22        0.2192292351       -0.1879496219
   29   23        0.0720141288        0.1124161484
   29   24       -0.0636024078       -0.0586414250
   29   25        0.0901158795        0.1325754455
   29   26       -0.2922263101        0.2391498782
   29   27       -0.0058802748       -0.0658556494
   29   28       -0.1925522927       -0.1182248092
   29   29        0.0213203037       -0.0361881592
   30    0       -0.0928608346        0.0000000000
   30    1        0.1317164114        0.3548113201
   30    2        0.1679812403        0.1476621392
   30    3        0.1716228193       -0.1383342110
   30    4       -0.0806021720       -0.0596681224
   30    5        0.1073567176       -0.0756905341
   30    6        0.2301646204        0.0445311297
   30    7       -0.1550782192       -0.0910128747
   30    8       -0.2789243059       -0.0482529702
   30    9       -0.1690917498        0.0631504558
   30   10       -0.0196482277        0.1583742097
   30   11        0.2331924671        0.0635124211
   30   12        0.2659965422        0.0911868789
   30   13        0.0779704798       -0.2910703795
   30   14       -0.1234151382        0.0145347710
   30   15       -0.1865066731       -0.0431856959
   30   16       -0.2030578474       -0.2383127149
   30   17       -0.0159538688        0.0054682514
   30   18        0.2864489771        0.2713359984
   30   19       -0.1954589364       -0.0051158696
   30   20        0.0716132410       -0.0009576740
   30   21       -0.2016868095       -0.2189620497
   30   22       -0.0088348813        0.0343886789
   30   23        0.0218453664        0.4118891247
   30   24       -0.1533103554       -0.2967554842
   30   25       -0.1570774827       -0.2459709933
   30   26        0.3238642318       -0.0980773172
   30   27        0.1428940327       -0.2899351875
   30   28       -0.2444874280        0.3255181312
   30   29        0.0610671603       -0.1579133697
   30   30        0.0079778371       -0.0487087724
