XRT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne Ti-poly Al-poly
5.48492e+00 5.53846e+00 2.49172e-03 5.19401e-02
5.50251e+00 5.53846e+00 3.02942e-03 6.09036e-02
5.52010e+00 5.53846e+00 3.67194e-03 7.13872e-02
5.53768e+00 5.53846e+00 4.44245e-03 8.37391e-02
5.55527e+00 5.53846e+00 5.36672e-03 9.82524e-02
5.57286e+00 5.53846e+00 6.47098e-03 1.15092e-01
5.59045e+00 5.53846e+00 7.78127e-03 1.34269e-01
5.60804e+00 5.53846e+00 9.32272e-03 1.55610e-01
5.62562e+00 5.53846e+00 1.11208e-02 1.78846e-01
5.64321e+00 5.53846e+00 1.32075e-02 2.03727e-01
5.66080e+00 5.53846e+00 1.56202e-02 2.29952e-01
5.67839e+00 5.53846e+00 1.84037e-02 2.57156e-01
5.69598e+00 5.53846e+00 2.16096e-02 2.84884e-01
5.71356e+00 5.53846e+00 2.53001e-02 3.12636e-01
5.73115e+00 5.53846e+00 2.95743e-02 3.40219e-01
5.74874e+00 5.53846e+00 3.45690e-02 3.67694e-01
5.76633e+00 5.53846e+00 4.04482e-02 3.95210e-01
5.78391e+00 5.53846e+00 4.73978e-02 4.22984e-01
5.80150e+00 5.53846e+00 5.55999e-02 4.51251e-01
5.81909e+00 5.53846e+00 6.52177e-02 4.80179e-01
5.83668e+00 5.53846e+00 7.64957e-02 5.09879e-01
5.85427e+00 5.53846e+00 8.97381e-02 5.40468e-01
5.87185e+00 5.53846e+00 1.05285e-01 5.72040e-01
5.88944e+00 5.53846e+00 1.23480e-01 6.04619e-01
5.90703e+00 5.53846e+00 1.44597e-01 6.38077e-01
5.92462e+00 5.53846e+00 1.68842e-01 6.72282e-01
5.94221e+00 5.53846e+00 1.96428e-01 7.07255e-01
5.95979e+00 5.53846e+00 2.27447e-01 7.42871e-01
5.97738e+00 5.53846e+00 2.61774e-01 7.78823e-01
5.99497e+00 5.53846e+00 2.98959e-01 8.14580e-01
6.01256e+00 5.53846e+00 3.38177e-01 8.49722e-01
6.03015e+00 5.53846e+00 3.79042e-01 8.86620e-01
6.04773e+00 5.53846e+00 4.21472e-01 9.28682e-01
6.06532e+00 5.53846e+00 4.65316e-01 9.78468e-01
6.08291e+00 5.53846e+00 5.10247e-01 1.03761e+00
6.10050e+00 5.53846e+00 5.55669e-01 1.10689e+00
6.11809e+00 5.53846e+00 6.00803e-01 1.18662e+00
6.13567e+00 5.53846e+00 6.45456e-01 1.27810e+00
6.15326e+00 5.53846e+00 6.89452e-01 1.38218e+00
6.17085e+00 5.53846e+00 7.32362e-01 1.49894e+00
6.18844e+00 5.53846e+00 7.73462e-01 1.62774e+00
6.20602e+00 5.53846e+00 8.11819e-01 1.76747e+00
6.22361e+00 5.53846e+00 8.48631e-01 1.91931e+00
6.24120e+00 5.53846e+00 8.88660e-01 2.08901e+00
6.25879e+00 5.53846e+00 9.37166e-01 2.28414e+00
6.27638e+00 5.53846e+00 9.99340e-01 2.51340e+00
6.29397e+00 5.53846e+00 1.07966e+00 2.78493e+00
6.31155e+00 5.53846e+00 1.18075e+00 3.10273e+00
6.32914e+00 5.53846e+00 1.30448e+00 3.46951e+00
6.34673e+00 5.53846e+00 1.45271e+00 3.88775e+00
6.36432e+00 5.53846e+00 1.62653e+00 4.35729e+00
6.38190e+00 5.53846e+00 1.82640e+00 4.87614e+00
6.39949e+00 5.53846e+00 2.05222e+00 5.44109e+00
6.41708e+00 5.53846e+00 2.30325e+00 6.04883e+00
6.43467e+00 5.53846e+00 2.57862e+00 6.69822e+00
6.45226e+00 5.53846e+00 2.87802e+00 7.38985e+00
6.46984e+00 5.53846e+00 3.20134e+00 8.12455e+00
6.48743e+00 5.53846e+00 3.54943e+00 8.90487e+00
6.50502e+00 5.53846e+00 3.92431e+00 9.73554e+00
6.52261e+00 5.53846e+00 4.32805e+00 1.06212e+01
6.54020e+00 5.53846e+00 4.76120e+00 1.15635e+01
6.55778e+00 5.53846e+00 5.22351e+00 1.25620e+01
6.57537e+00 5.53846e+00 5.71383e+00 1.36141e+01
