Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   30   11       -0.4945391523       -0.4990713391
   30   12       -0.2290037325        0.5377416101
   30   13       -0.4797743982       -0.4764246227
   30   14        0.1339189316       -0.0033783435
   30   15        0.3815383946       -0.4563663835
   30   16       -0.4367342288        0.1465370277
   30   17       -0.0277094041        0.0417852763
   30   18        0.4812235045       -0.3337926638
   30   19        0.7054853224        0.2137246630
   30   20        1.1422342523        0.4909080032
   30   21        0.3188327321        0.3536926454
   30   22       -0.0629707418        0.5277391662
   30   23        0.0445798733        0.1620723713
   30   24       -0.8545043468        1.3135025810
   30   25       -0.2836463249        0.3598196271
   30   26       -0.6677347066       -0.5350385497
   30   27       -0.6542293613        0.4265957833
   30   28       -0.0463637890       -0.1617296365
   30   29       -0.9306554685        0.2995219030
   30   30       -0.7919056944       -0.4228049260
   31    0        0.2476630487        0.0000000000
   31    1       -0.0355051524        0.0170333458
   31    2       -0.3974048606       -0.0649923579
   31    3       -0.0919499893        0.2456858153
   31    4       -0.0410261559        0.3654278947
   31    5       -0.6265253894       -0.3965032123
   31    6       -0.5430695931        0.2805615010
   31    7        0.3688825593       -0.2269385039
   31    8       -0.4884942788       -0.2213116082
   31    9       -0.1088710059       -0.0016940869
   31   10       -0.0316618255       -0.3021772485
   31   11       -0.0386245653        0.1944081977
   31   12       -0.0125606858        0.2421773229
   31   13       -0.0927100371       -0.1084495785
   31   14        0.4060563544        0.3926876199
   31   15        0.2440271949       -0.3302610387
   31   16        0.0695877538        0.1198032470
   31   17        0.6010106984       -0.1008320405
   31   18        0.0416519447        0.4173460431
   31   19        0.3027247449        0.6548117638
   31   20       -0.5397228649       -0.3608638887
   31   21       -0.7986723035        0.5761335424
   31   22       -0.6711479328       -0.0772252876
   31   23       -0.1551843069       -0.3906733828
   31   24       -0.8350270669       -0.5899736394
   31   25        0.3885718088       -0.6830586342
   31   26        0.0765435652       -0.1193706584
   31   27        0.4300117419       -0.2832647646
   31   28        0.1665891731       -0.7745418092
   31   29        0.2221513750        0.2053245057
   31   30        0.5701332419       -0.9899237393
   31   31        0.5513323365       -0.9599812248
   32    0       -0.0623075346        0.0000000000
   32    1        0.0927741952        0.0512426788
   32    2        0.1324379357       -0.1254931775
   32    3       -0.8178791872       -0.0467305434
   32    4       -0.2400672715        0.3388102473
   32    5       -0.2127118191       -0.4312271313
   32    6        0.3622925707        0.0385994594
   32    7        0.1276522658       -0.9156379251
   32    8        0.1083046147        0.4216164945
   32    9        0.2239921017       -0.2134191875
   32   10       -0.7655372179       -0.0993118368
   32   11        0.5037755716       -0.2540525998
   32   12       -0.4321690334        0.0020244286
   32   13        0.7056569861        0.0422600165
   32   14        0.2806306793       -0.3961417403
   32   15       -0.0626556651        0.9829595946
   32   16        0.3139473671        0.1209543332
   32   17       -0.5264974404       -0.2172277553
   32   18       -0.1581712544        0.2846333851
   32   19       -0.2783292058       -0.2853070388
