Values at minimum B
       350  6.0000000000E+01 -2  0 22
      20      25
x y z Rho Ux Uy Uz BxSM BySM BzSM P rCurve xZ0 yZ0 zZ0 RhoZ0 UxZ0 UyZ0 UzZ0 BxSMZ0 BySMZ0 BzSMZ0 PZ0 rCurveZ0
  1.6616128388E+08  4.8306095554E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.3080641942E+07  2.4153047777E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.7632222570E+08  5.1260065426E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  8.8161112852E+07  2.5630032713E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.8648316752E+08  5.4214035298E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.3241583762E+07  2.7107017649E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.9664410934E+08  5.7168005170E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  9.8322054672E+07  2.8584002585E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.0680505116E+08  6.0121975042E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0340252558E+08  3.0060987521E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.1696599298E+08  6.3075944915E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0848299649E+08  3.1537972457E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  2.2712693480E+08  6.6029914787E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.1356346740E+08  3.3014957393E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.7434510788E+07  1.0347441456E+07 -3.8650167033E+06  1.6120096048E-20  8.3923264878E+03 -2.4109122292E+02  1.2870895707E+02 -3.4576148014E-07 -2.0780234802E-07  8.1859507332E-07  1.8575520222E-10  1.4691122165E+07  1.5272732911E+07  9.5670000000E+06 -6.4285376585E+06  1.6230699994E-20  7.7262069816E+03 -5.3581191961E+01 -1.0805487885E+03  3.6625225520E-09 -5.4669145000E-10  1.1096979117E-06  1.5722717579E-10  1.3343008791E+07
  1.9213696967E+07  1.2477775683E+07 -1.0056821246E+07  1.5655786660E-20  1.1274136199E+04  1.0972013725E+02 -8.5471567948E+03  9.5556390535E-08  5.3267941287E-08  4.8340215645E-07  2.0583236991E-10  1.3720006791E+07  1.9827758516E+07  1.2420315789E+07 -8.3458208198E+06  1.5713156187E-20  1.1617539220E+04  3.8443021117E+02 -5.0606597373E+03  3.2526285937E-09 -8.6041311063E-10  5.0265547429E-07  2.0661671904E-10  1.3304585095E+07
  2.4069687976E+07  1.5288719564E+07 -1.1042640933E+07  1.5020963663E-20  8.2874051309E+03  3.4826188428E+03 -9.4573602457E+03  2.0657515221E-08  9.8200785553E-09  2.6639847443E-07  2.2473121311E-10  1.5173366113E+07  2.4382784121E+07  1.5273631579E+07 -1.0263103981E+07  1.5041209825E-20  8.8458614797E+03  3.6376750430E+03 -7.3979663827E+03  1.9786174846E-09 -1.3527663795E-09  2.6805486416E-07  2.2433742576E-10  1.5128931545E+07
  2.8639014504E+07  1.8137018926E+07 -1.2886202449E+07  1.4358959971E-20  2.6563643772E+02  8.8476427101E+03 -1.4411998498E+04  9.0395040076E-09  3.1471128350E-09  1.5843143500E-07  2.5112162973E-10  1.6330072560E+07  2.8937809726E+07  1.8126947368E+07 -1.2180387142E+07  1.4373836313E-20  1.1412884643E+03  8.9938773451E+03 -1.2109159385E+04  6.9761951186E-10 -2.0287642488E-09  1.5899522672E-07  2.5012041748E-10  1.6381332626E+07
  3.2876518209E+07  2.1045655481E+07 -1.5573272157E+07  1.3613629553E-20 -2.5652942010E+04  1.8340995179E+04 -2.4807985890E+04  8.5441205047E-09  2.9174224885E-09  9.9556649842E-08  2.8527122639E-10  1.7513216606E+07  3.3492835331E+07  2.0980263158E+07 -1.4097670304E+07  1.3638561340E-20 -2.5477931156E+04  1.8599641649E+04 -1.8769424445E+04 -1.6962583445E-10 -2.8571810828E-09  1.0053151408E-07  2.8244487331E-10  1.8009891298E+07
  3.7656913950E+07  2.3861910209E+07 -1.6858557653E+07  1.2850326679E-20 -7.8976115173E+04  2.9706233234E+04 -2.9074773875E+04  2.2198018640E-09 -1.6471545590E-09  6.3937060159E-08  3.0036901602E-10  2.0403525730E+07  3.8047860936E+07  2.3833578947E+07 -1.6014953465E+07  1.2861726849E-20 -7.8829656846E+04  2.9838149858E+04 -2.5176856366E+04 -4.2651929229E-10 -3.5321299851E-09  6.4024768947E-08  2.9984929071E-10  2.0786003642E+07
  4.1874251034E+07  2.6775527079E+07 -1.9437833127E+07  1.2082791105E-20 -1.4566617464E+05  3.9529984051E+04 -3.7212983774E+04  1.7114401406E-09 -2.4234255288E-09  3.9482990442E-08  2.9242007550E-10  2.2477671219E+07  4.2602886541E+07  2.6686894737E+07 -1.7932236626E+07  1.2108715724E-20 -1.4369446019E+05  4.0355270044E+04 -3.1138823837E+04 -7.6052022161E-10 -4.3165232290E-09  3.9612293802E-08  2.9509539814E-10  2.3267146795E+07
  4.3855438545E+07  3.0651462751E+07 -2.6468431431E+07  1.1096017642E-20 -2.4842928254E+05  3.3581917385E+04 -3.7978667641E+04  4.9635444889E-09 -4.5127588244E-10  2.0900550138E-08  2.1487645681E-10  2.3041673681E+07  4.7157912147E+07  2.9540210526E+07 -1.9849519788E+07  1.1275496355E-20 -2.1986394645E+05  4.0897760807E+04 -3.0482866072E+04 -7.5549141481E-10 -4.5650551338E-09  2.2230815668E-08  2.3745332645E-10  2.3423658251E+07
  5.1263210324E+07  3.2752830748E+07 -2.2748369294E+07  1.0309191140E-20 -2.9651560811E+05  2.9302710262E+04 -2.1468719856E+04  4.5583449029E-10 -3.6263097863E-09  1.0655118419E-08  1.4376279725E-10  2.3570714050E+07  5.1712937752E+07  3.2393526316E+07 -2.1766802949E+07  1.0354323612E-20 -2.9364002223E+05  3.0004840187E+04 -2.0863495165E+04 -7.8950971580E-11 -3.9419927816E-09  1.0564278419E-08  1.4698455685E-10  2.2822166252E+07
  5.6752906419E+07  3.4161042049E+07 -2.2858075019E+07  9.5498614985E-21 -3.5181749746E+05  1.6226108224E+04 -9.7112084102E+03  5.4073499050E-10 -2.9944544706E-09  2.9873961691E-09  7.2310936679E-11  2.3478846584E+07  5.6267963357E+07  3.5246842105E+07 -2.3684086110E+07  9.4807499826E-21 -3.5337095049E+05  1.5657443913E+04 -9.8768376028E+03  8.6169526299E-10 -2.8600710015E-09  3.1207371520E-09  6.9239204673E-11  2.4565143283E+07
  1.2164597792E+08  7.6200315789E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.0822988962E+07  3.8100157895E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.3075602913E+08  8.1906947368E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.5378014567E+07  4.0953473684E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.3986608034E+08  8.7613578947E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.9933040172E+07  4.3806789474E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4897613155E+08  9.3320210526E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.4488065777E+07  4.6660105263E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
