VARIABLES="J", "I", "x", "y", "z", "rho", "ux", "uy", "uz", "bxSM", "bySM", "bzSM", "p", "rCurve", "xZ0", "yZ0", "zZ0", "rhoZ0", "uxZ0", "uyZ0", "uzZ0", "bxSMZ0", "bySMZ0", "bzSMZ0", "pZ0", "rCurveZ0"
ZONE T="STRUCTURED GRID", I=    20, J=    25, K=     1, F=POINT
AUXDATA ITER="     352"
AUXDATA TIMESIM="  6.0000000000E+01"
AUXDATA NDIM=" -2"
AUXDATA NPARAM="  0"
AUXDATA NVAR=" 22"
     2      16  1.1607150101E+07  5.1378693496E+07 -1.4790064780E+07  1.0878807293E-20 -1.7235648047E+05  2.6631858985E+04 -2.4324001613E+04  6.2263991762E-09  5.1915610461E-09  3.8294961504E-08  1.9828030570E-10  1.9790022580E+07  1.5542668031E+07  5.1101276038E+07 -1.0215725418E+07  1.0930931231E-20 -1.6205174197E+05  3.8831975970E+04 -1.7515823376E+04  4.1135727119E-09 -8.6062126294E-09  4.1232624078E-08  2.0149031513E-10  2.4190469010E+07
     2      17  1.1472155808E+07  5.3817950066E+07 -1.5894187113E+07  1.0505428350E-20 -2.0853366980E+05  2.8297617350E+04 -2.3520306680E+04  5.9896850718E-09  4.2122456392E-09  3.1623711896E-08  1.8193036960E-10  1.9831433868E+07  1.6214264797E+07  5.3309355867E+07 -1.0657145652E+07  1.0607361999E-20 -1.9422151000E+05  4.2433399368E+04 -1.5890807034E+04  4.1015214870E-09 -8.7963569528E-09  3.4712417615E-08  1.8778353178E-10  2.5808619367E+07
     2      18  1.0871514273E+07  5.6478592916E+07 -1.7287630906E+07  1.0103246475E-20 -2.5005327486E+05  2.8945911547E+04 -2.2736310538E+04  5.8957054018E-09  3.6056820410E-09  2.5517622192E-08  1.6321059987E-10  1.9260562759E+07  1.6885861564E+07  5.5517435696E+07 -1.1098565886E+07  1.0292148191E-20 -2.2806749456E+05  4.5785954722E+04 -1.4046448348E+04  4.0959268182E-09 -8.9536395624E-09  2.9013086383E-08  1.7271435195E-10  2.7399808153E+07
     2      19  1.0763029297E+07  5.9179451478E+07 -1.8036463674E+07  9.8052752174E-21 -2.8027152257E+05  2.7180345476E+04 -2.0559301628E+04  5.7073540019E-09  2.3415459565E-09  2.0896748690E-08  1.3970572732E-10  1.9322501667E+07  1.7557458331E+07  5.7725515525E+07 -1.1539986120E+07  1.0001217519E-20 -2.6141651821E+05  4.7854342297E+04 -1.2051440474E+04  4.0745561098E-09 -8.9891049182E-09  2.4017839137E-08  1.5550085044E-10  2.8808640373E+07
     2      20  1.1251892422E+07  6.1748925730E+07 -1.8197301060E+07  9.5745468302E-21 -3.0261719007E+05  2.4875078993E+04 -1.7289129214E+04  5.5724819741E-09  8.7285913648E-10  1.7420872217E-08  1.1508122618E-10  2.0119589822E+07  1.8229055098E+07  5.9933595354E+07 -1.1981406354E+07  9.8077269660E-21 -2.8249114482E+05  4.3732298365E+04 -1.0582953408E+04  3.9301356738E-09 -8.4838037385E-09  1.9863946189E-08  1.3349608342E-10  2.9291494907E+07
     3       1  2.7722447496E+06  1.8843341937E+07 -1.8309724674E+06  1.6190622131E-20  4.1146289615E+03 -2.6339352395E+02 -3.8816660349E+03  5.9862155665E-09 -1.3828009163E-09  1.1079469322E-06  1.6909328947E-10  1.2468959177E+07  2.7765401483E+06  1.8843311546E+07 -1.8249358290E+06  1.6190660935E-20  4.1141494470E+03 -2.6322491347E+02 -3.8813122116E+03  5.7625692844E-09 -2.6693361415E-09  1.1079468698E-06  1.6909850109E-10  1.2469234676E+07
     3       2  3.0992715159E+06  2.1157499018E+07 -2.0749771124E+06  1.5928971077E-20  4.1713509839E+03 -2.5174471376E+02 -5.6342699409E+03  6.4162928598E-09  5.1611867368E-10  7.8043263819E-07  1.7373054028E-10  1.2746380096E+07  3.1175187630E+06  2.1157402438E+07 -2.0490507554E+06  1.5929142832E-20  4.1683585478E+03 -2.4950126178E+02 -5.6320495416E+03  5.8208499792E-09 -2.9495324490E-09  7.8044149325E-07  1.7375384508E-10  1.2748063559E+07
     3       3  3.4271486609E+06  2.3471641675E+07 -2.3172602063E+06  1.5645192778E-20  4.1101081936E+03 -2.3417806156E+02 -7.6212616194E+03  6.3943560191E-09  7.0335750762E-10  5.6966686703E-07  1.7459435756E-10  1.3106436416E+07  3.4584973778E+06  2.3471493329E+07 -2.2731656817E+06  1.5645475769E-20  4.1031308159E+03 -2.2721949675E+02 -7.6162390672E+03  5.7349426966E-09 -3.1999982838E-09  5.6968278807E-07  1.7463179256E-10  1.3110232113E+07
     3       4  3.7468423954E+06  2.5785780269E+07 -2.5706073206E+06  1.5362834172E-20  4.0447566649E+03 -2.2546214181E+02 -9.7254311719E+03  6.3798105458E-09  1.0165942711E-09  4.2788102940E-07  1.7547663876E-10  1.3461497051E+07  3.7994759925E+06  2.5785584221E+07 -2.4972806081E+06  1.5363288275E-20  4.0298497221E+03 -2.0843781050E+02 -9.7148101948E+03  5.6424146961E-09 -3.4532147754E-09  4.2790989588E-07  1.7553516633E-10  1.3469342754E+07
     3       5  4.0517778170E+06  2.8099884757E+07 -2.8439544874E+06  1.5081830212E-20  3.9797592833E+03 -2.3152634020E+02 -1.1959616189E+04  6.3914133359E-09  1.6025120230E-09  3.2901457400E-07  1.7637357256E-10  1.3809895128E+07  4.1404546072E+06  2.8099675113E+07 -2.7213955345E+06  1.5082557966E-20  3.9490817253E+03 -1.9358320372E+02 -1.1937801138E+04  5.5433884716E-09 -3.7093565012E-09  3.2906975395E-07  1.7646496659E-10  1.3825524032E+07
