Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Pe E Pmin Pmax
     66  0.00000E+00  0.00000E+000  1.20885E+006 -2.66563E-014  2.53112E-019  7.48806E-019 -1.51368E+001  8.36851E+000 -8.55362E+000  4.80386E-002  5.55070E-009  9.04848E-003  4.96151E+000
     67  0.00000E+00  0.00000E+000  1.20885E+006 -2.66532E-014  2.58126E-019  7.27271E-019 -1.51340E+001  8.36759E+000 -8.55700E+000  4.80415E-002  5.54974E-009  8.58003E-003  5.05234E+000
     68  0.00000E+00  0.00000E+000  1.20885E+006 -2.66502E-014  2.66577E-019  7.01283E-019 -1.51312E+001  8.36671E+000 -8.56043E+000  4.80446E-002  5.54881E-009  8.14011E-003  5.13648E+000
     69  0.00000E+00  0.00000E+000  1.20885E+006 -2.66472E-014  2.79091E-019  6.71063E-019 -1.51283E+001  8.36588E+000 -8.56391E+000  4.80480E-002  5.54790E-009  7.72729E-003  5.21472E+000
     70  0.00000E+00  0.00000E+000  1.20885E+006 -2.66444E-014  2.96454E-019  6.36941E-019 -1.51255E+001  8.36510E+000 -8.56741E+000  4.80516E-002  5.54701E-009  7.34164E-003  5.28751E+000
     71  0.00000E+00  0.00000E+000  1.20885E+006 -2.66417E-014  3.19339E-019  5.99310E-019 -1.51226E+001  8.36437E+000 -8.57092E+000  4.80555E-002  5.54615E-009  6.98466E-003  5.35553E+000
     72  0.00000E+00  0.00000E+000  1.20885E+006 -2.66391E-014  3.47946E-019  5.58746E-019 -1.51197E+001  8.36368E+000 -8.57444E+000  4.80596E-002  5.54532E-009  6.65662E-003  5.41942E+000
     73  0.00000E+00  0.00000E+000  1.20885E+006 -2.66366E-014  3.82190E-019  5.15772E-019 -1.51167E+001  8.36305E+000 -8.57793E+000  4.80638E-002  5.54452E-009  6.35852E-003  5.48072E+000
     74  0.00000E+00  0.00000E+000  1.20885E+006 -2.66342E-014  4.21929E-019  4.70849E-019 -1.51138E+001  8.36247E+000 -8.58140E+000  4.80681E-002  5.54375E-009  6.09865E-003  5.53931E+000
     75  0.00000E+00  0.00000E+000  1.20885E+006 -2.66320E-014  4.67087E-019  4.24215E-019 -1.51109E+001  8.36194E+000 -8.58482E+000  4.80725E-002  5.54301E-009  5.82698E-003  5.59376E+000
     76  0.00000E+00  0.00000E+000  1.20885E+006 -2.66298E-014  5.17695E-019  3.75992E-019 -1.51080E+001  8.36145E+000 -8.58817E+000  4.80770E-002  5.54230E-009  5.57198E-003  5.81527E+000
     77  0.00000E+00  0.00000E+000  1.20885E+006 -2.66278E-014  5.73582E-019  3.26543E-019 -1.51051E+001  8.36101E+000 -8.59146E+000  4.80816E-002  5.54162E-009  5.33759E-003  6.10682E+000
     78  0.00000E+00  0.00000E+000  1.20885E+006 -2.66259E-014  6.34512E-019  2.76048E-019 -1.51022E+001  8.36061E+000 -8.59465E+000  4.80861E-002  5.54097E-009  5.12169E-003  6.35877E+000
     79  0.00000E+00  0.00000E+000  1.20885E+006 -2.66240E-014  7.00319E-019  2.24620E-019 -1.50993E+001  8.36025E+000 -8.59776E+000  4.80907E-002  5.54035E-009  4.92473E-003  6.56653E+000
     80  0.00000E+00  0.00000E+000  1.20885E+006 -2.66223E-014  7.70929E-019  1.72768E-019 -1.50965E+001  8.35992E+000 -8.60075E+000  4.80952E-002  5.53977E-009  4.74610E-003  6.72285E+000
     81  0.00000E+00  0.00000E+000  1.20885E+006 -2.66207E-014  8.46254E-019  1.21497E-019 -1.50937E+001  8.35963E+000 -8.60364E+000  4.80998E-002  5.53921E-009  4.58570E-003  6.82629E+000
     82  0.00000E+00  0.00000E+000  1.20885E+006 -2.66192E-014  9.26129E-019  7.07734E-020 -1.50909E+001  8.35937E+000 -8.60640E+000  4.81043E-002  5.53869E-009  4.44361E-003  6.95261E+000
     83  0.00000E+00  0.00000E+000  1.20885E+006 -2.66177E-014  1.01033E-018  2.08629E-020 -1.50882E+001  8.35914E+000 -8.60904E+000  4.81088E-002  5.53820E-009  4.32055E-003  7.19235E+000
     84  0.00000E+00  0.00000E+000  1.20885E+006 -2.66164E-014  1.09876E-018 -2.78853E-020 -1.50855E+001  8.35893E+000 -8.61154E+000  4.81134E-002  5.53774E-009  4.22447E-003  7.37736E+000
     85  0.00000E+00  0.00000E+000  1.20885E+006 -2.66152E-014  1.19118E-018 -7.54920E-020 -1.50829E+001  8.35874E+000 -8.61391E+000  4.81181E-002  5.53731E-009  4.15469E-003  7.49933E+000
     86  0.00000E+00  0.00000E+000  1.20885E+006 -2.66141E-014  1.28748E-018 -1.21789E-019 -1.50804E+001  8.35857E+000 -8.61614E+000  4.81229E-002  5.53692E-009  4.11082E-003  7.55828E+000
     87  0.00000E+00  0.00000E+000  1.20885E+006 -2.66131E-014  1.38756E-018 -1.66839E-019 -1.50779E+001  8.35841E+000 -8.61824E+000  4.81278E-002  5.53656E-009  4.09484E-003  7.67090E+000
     88  0.00000E+00  0.00000E+000  1.20885E+006 -2.66122E-014  1.49143E-018 -2.10393E-019 -1.50754E+001  8.35826E+000 -8.62019E+000  4.81328E-002  5.53623E-009  4.10964E-003  7.80595E+000
     89  0.00000E+00  0.00000E+000  1.20885E+006 -2.66114E-014  1.59867E-018 -2.52186E-019 -1.50730E+001  8.35812E+000 -8.62202E+000  4.81380E-002  5.53594E-009  4.10058E-003  7.86924E+000
     90  0.00000E+00  0.00000E+000  1.20885E+006 -2.66107E-014  1.70893E-018 -2.91968E-019 -1.50707E+001  8.35799E+000 -8.62371E+000  4.81433E-002  5.53568E-009  4.02635E-003  7.86401E+000
     91  0.00000E+00  0.00000E+000  1.20885E+006 -2.66101E-014  1.82200E-018 -3.29405E-019 -1.50684E+001  8.35786E+000 -8.62527E+000  4.81489E-002  5.53545E-009  3.96203E-003  7.82363E+000
     92  0.00000E+00  0.00000E+000  1.20885E+006 -2.66096E-014  1.93781E-018 -3.64176E-019 -1.50663E+001  8.35773E+000 -8.62669E+000  4.81546E-002  5.53525E-009  3.90831E-003  7.83969E+000
     93  0.00000E+00  0.00000E+000  1.20885E+006 -2.66092E-014  2.05610E-018 -3.96098E-019 -1.50641E+001  8.35760E+000 -8.62799E+000  4.81605E-002  5.53509E-009  3.87112E-003  7.78349E+000
     94  0.00000E+00  0.00000E+000  1.20885E+006 -2.66089E-014  2.17650E-018 -4.24946E-019 -1.50621E+001  8.35746E+000 -8.62916E+000  4.81666E-002  5.53496E-009  3.84938E-003  7.67510E+000
     95  0.00000E+00  0.00000E+000  1.20885E+006 -2.66087E-014  2.29838E-018 -4.50493E-019 -1.50601E+001  8.35732E+000 -8.63021E+000  4.81730E-002  5.53486E-009  3.84271E-003  7.76385E+000
     96  0.00000E+00  0.00000E+000  1.20885E+006 -2.66086E-014  2.42112E-018 -4.72445E-019 -1.50582E+001  8.35718E+000 -8.63114E+000  4.81795E-002  5.53479E-009  3.85134E-003  7.90365E+000
     97  0.00000E+00  0.00000E+000  1.20885E+006 -2.66086E-014  2.54419E-018 -4.90930E-019 -1.50563E+001  8.35704E+000 -8.63196E+000  4.81863E-002  5.53475E-009  3.85722E-003  7.97497E+000
     98  0.00000E+00  0.00000E+000  1.20885E+006 -2.66087E-014  2.66670E-018 -5.05600E-019 -1.50545E+001  8.35690E+000 -8.63267E+000  4.81933E-002  5.53475E-009  3.87748E-003  7.96204E+000
     99  0.00000E+00  0.00000E+000  1.20885E+006 -2.66089E-014  2.78791E-018 -5.16373E-019 -1.50528E+001  8.35676E+000 -8.63328E+000  4.82004E-002  5.53477E-009  3.91446E-003  7.88478E+000
    100  0.00000E+00  0.00000E+000  1.20885E+006 -2.66092E-014  2.90693E-018 -5.23121E-019 -1.50511E+001  8.35662E+000 -8.63377E+000  4.82078E-002  5.53483E-009  3.96906E-003  7.95349E+000
