Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz e NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
     39  0.00000E+00  0.00000E+00  5.46508E-03  2.70170E-20  6.46853E-22  3.02307E-22  2.62669E-02 -6.89627E-03 -2.56406E-02  1.08478E-12  1.80000E-01  7.91809E-19 -6.03254E-39 -6.92456E-20  1.29221E-12  1.05769E-04 -2.36443E-22  1.70317E-27  4.87052E-27  9.58442E-15  4.82202E-07 -2.27015E-24  4.41757E-29  1.31942E-29  6.47856E-16  1.79999E-01  7.91806E-19 -5.80268E-31 -6.92454E-20  1.29221E-12  5.32693E-20  9.22925E-11
     40  0.00000E+00  0.00000E+00  5.48762E-03  2.66116E-20  6.52335E-22  3.05575E-22  2.64029E-02 -6.92139E-03 -2.57247E-02  1.02158E-12  1.80000E-01  7.91809E-19 -6.30286E-39 -6.92456E-20  1.29221E-12  1.04492E-04 -2.39889E-22  2.89283E-27  8.34845E-27  9.46593E-15  4.75188E-07 -2.40413E-24  4.39529E-29  1.26482E-29  6.37620E-16  1.79999E-01  7.91806E-19 -5.73818E-31 -6.92454E-20  1.29221E-12  5.38903E-20  5.66026E-11
     41  0.00000E+00  0.00000E+00  5.51636E-03  2.64819E-20  6.55200E-22  3.05602E-22  2.65706E-02 -6.95657E-03 -2.58457E-02  1.00500E-12  1.80000E-01  7.91809E-19 -6.60610E-39 -6.92456E-20  1.29221E-12  1.03232E-04 -2.43137E-22  6.35066E-27  1.39631E-26  9.34903E-15  4.68120E-07 -2.53838E-24  4.27023E-29  1.20512E-29  6.27357E-16  1.79999E-01  7.91806E-19 -5.68253E-31 -6.92454E-20  1.29221E-12  5.52404E-20  3.54710E-11
     42  0.00000E+00  0.00000E+00  5.54770E-03  2.63964E-20  6.55666E-22  2.91299E-22  2.67560E-02 -6.99731E-03 -2.59911E-02  1.01863E-12  1.80000E-01  7.91809E-19 -6.95863E-39 -6.92456E-20  1.29221E-12  1.01987E-04 -2.46198E-22  7.93945E-27  2.11013E-26  9.23369E-15  4.61005E-07 -2.67245E-24  3.62985E-29  9.97571E-30  6.17076E-16  1.79999E-01  7.91806E-19 -5.63700E-31 -6.92454E-20  1.29221E-12  6.19682E-20  3.31459E-11
     43  0.00000E+00  0.00000E+00  5.57591E-03  2.61490E-20  6.50951E-22  2.64483E-22  2.69278E-02 -7.03687E-03 -2.61333E-02  1.04598E-12  1.80000E-01  7.91809E-19 -7.16179E-39 -6.92456E-20  1.29221E-12  1.00761E-04 -2.49108E-22  1.17370E-26  2.93103E-26  9.12010E-15  4.53848E-07 -2.80592E-24  2.89061E-29  1.00449E-29  6.06785E-16  1.79999E-01  7.91806E-19 -5.60284E-31 -6.92454E-20  1.29221E-12  6.87003E-20  4.10031E-11
     44  0.00000E+00  0.00000E+00  5.59702E-03  2.56742E-20  6.41781E-22  2.26363E-22  2.70713E-02 -7.07053E-03 -2.62515E-02  1.07425E-12  1.80000E-01  7.91809E-19 -7.45865E-39 -6.92456E-20  1.29221E-12  9.95541E-05 -2.51893E-22  1.47463E-26  3.67303E-26  9.00836E-15  4.46659E-07 -2.93845E-24  2.30386E-29  1.14800E-29  5.96496E-16  1.79999E-01  7.91806E-19 -5.58128E-31 -6.92454E-20  1.29221E-12  7.84087E-20  4.84641E-11
     45  0.00000E+00  0.00000E+00  5.61344E-03  2.51055E-20  6.28528E-22  1.76702E-22  2.72079E-02 -7.09904E-03 -2.63559E-02  1.09802E-12  1.80000E-01  7.91809E-19 -7.71772E-39 -6.92456E-20  1.29221E-12  9.83650E-05 -2.54540E-22  1.57547E-26  4.10370E-26  8.89834E-15  4.39447E-07 -3.06969E-24  8.75907E-30  1.08473E-29  5.86220E-16  1.79999E-01  7.91806E-19 -5.57354E-31 -6.92454E-20  1.29221E-12  7.40617E-20  5.63767E-11
     46  0.00000E+00  0.00000E+00  5.62691E-03  2.45293E-20  6.12709E-22  1.20440E-22  2.73534E-02 -7.12339E-03 -2.64532E-02  1.10988E-12  1.80000E-01  7.91809E-19 -7.91214E-39 -6.92456E-20  1.29221E-12  9.71923E-05 -2.57035E-22  1.28324E-26  4.56277E-26  8.78990E-15  4.32219E-07 -3.19918E-24 -1.03147E-29  9.90081E-30  5.75965E-16  1.79999E-01  7.91806E-19 -5.58083E-31 -6.92454E-20  1.29221E-12  5.97395E-20  6.17381E-11
     47  0.00000E+00  0.00000E+00  5.63886E-03  2.39898E-20  5.91340E-22  6.12114E-23  2.75219E-02 -7.14852E-03 -2.65470E-02  1.10257E-12  1.80000E-01  7.91809E-19 -7.98173E-39 -6.92456E-20  1.29221E-12  9.60343E-05 -2.59363E-22  1.29115E-26  5.04647E-26  8.68287E-15  4.24982E-07 -3.32639E-24 -2.59930E-29  1.09571E-29  5.65739E-16  1.79999E-01  7.91806E-19 -5.60435E-31 -6.92454E-20  1.29221E-12  4.83556E-20  6.60907E-11
     48  0.00000E+00  0.00000E+00  5.65079E-03  2.35233E-20  5.68841E-22  3.34524E-24  2.77102E-02 -7.17315E-03 -2.66408E-02  1.07497E-12  1.80000E-01  7.91809E-19 -7.95245E-39 -6.92456E-20  1.29221E-12  9.48912E-05 -2.61542E-22  1.38738E-26  5.79670E-26  8.57729E-15  4.17748E-07 -3.45099E-24 -3.86845E-29  1.43224E-29  5.55555E-16  1.79999E-01  7.91806E-19 -5.64527E-31 -6.92454E-20  1.29221E-12  3.91727E-20  7.11483E-11
